page,asset,path,alt
src/pages/works/puzzle-palace.astro,SplashScreenD,PuzzlePalace/img/10_PP_App Splash Screen_4.png,A person having a hot drink.
src/pages/works/puzzle-palace.astro,SplashScreenE,PuzzlePalace/img/10_PP_App Splash Screen_5.png,A person riding the subway.
src/pages/works/puzzle-palace.astro,SplashScreenF,PuzzlePalace/img/10_PP_App Splash Screen_6.png,A person riding in a taxi.
src/pages/works/puzzle-palace.astro,PortraitA,PuzzlePalace/portraits/09_PP_BG_BW_1.png,A person using the app sitting on the couch.
src/pages/works/puzzle-palace.astro,PortraitB,PuzzlePalace/portraits/09_PP_BG_BW_2.png,A person having coffee and reading the newspaper.
src/pages/works/puzzle-palace.astro,PortraitC,PuzzlePalace/portraits/09_PP_BG_BW_3.png,A person using the app in the back of a car.
src/pages/works/puzzle-palace.astro,PortraitD,PuzzlePalace/portraits/09_PP_BG_BW_4.png,A person using the app while taking a bath.
src/pages/works/puzzle-palace.astro,PortraitE,PuzzlePalace/portraits/09_PP_BG_BW_5.png,A person reading a book on a bus or train.
src/pages/works/puzzle-palace.astro,PortraitF,PuzzlePalace/portraits/09_PP_BG_BW_6.png,A person using the app on their phone.
src/pages/works/puzzle-palace.astro,PortraitG,PuzzlePalace/portraits/09_PP_BG_BW_7.png,A person using the app on their phone.
src/pages/works/puzzle-palace.astro,PortraitApp,PuzzlePalace/portraits/09_PP_PHONE_SUDOKU.svg,A screenshot of a sudoku game on the mobile app.
src/pages/works/puzzle-palace.astro,PortraitsBg,PuzzlePalace/portraits/09_PP_BG_SUDOKU_GRID.svg,
src/pages/works/puzzle-palace.astro,ValueAMobile,PuzzlePalace/values/value1-m.svg,A value of the Puzzle Palace brand: Playful
src/pages/works/puzzle-palace.astro,ValueADesktop,PuzzlePalace/values/value1-d.svg,A value of the Puzzle Palace brand: Playful
src/pages/works/puzzle-palace.astro,ValueBMobile,PuzzlePalace/values/value2-m.svg,A value of the Puzzle Palace brand: Smart
src/pages/works/puzzle-palace.astro,ValueBDesktop,PuzzlePalace/values/value2-d.svg,A value of the Puzzle Palace brand: Smart
src/pages/works/puzzle-palace.astro,ValueCMobile,PuzzlePalace/values/value3-m.svg,A value of the Puzzle Palace brand: Approachable
src/pages/works/puzzle-palace.astro,ValueCDesktop,PuzzlePalace/values/value3-d.svg,A value of the Puzzle Palace brand: Approachable
src/pages/works/puzzle-palace.astro,ValueDMobile,PuzzlePalace/values/value4-m.svg,A value of the Puzzle Palace brand: Rewarding
src/pages/works/puzzle-palace.astro,ValueDDesktop,PuzzlePalace/values/value4-d.svg,A value of the Puzzle Palace brand: Rewarding
src/pages/works/puzzle-palace.astro,ValueEMobile,PuzzlePalace/values/value5-m.svg,A value of the Puzzle Palace brand: Conscientious
src/pages/works/puzzle-palace.astro,ValueEDesktop,PuzzlePalace/values/value5-d.svg,A value of the Puzzle Palace brand: Conscientious
src/pages/works/puzzle-palace.astro,EtcALeft,PuzzlePalace/img/12_PP_cutting room floor_image_2.png,An illustration of a person sitting cross legged having a hot drink.
src/pages/works/puzzle-palace.astro,EtcARight,PuzzlePalace/img/13_PP_cutting room floor_image_1.png,An illustration of a person sitting cross legged.
src/pages/works/puzzle-palace.astro,EtcB,PuzzlePalace/img/14_PP_cutting room floor_image.png,An illustration of a person sitting cross legged having a hot drink.
src/pages/works/puzzle-palace.astro,EtcC,PuzzlePalace/img/15_PP_cutting room floor_image.png,A person in the back of a taxi on their phone with the Puzzle Palace logo on top of the picture.
src/pages/works/puzzle-palace.astro,EtcD,PuzzlePalace/img/16_PP_cutting room floor_image.png,Water being poured into a cup from a kettle.
src/pages/works/puzzle-palace.astro,ImgELeft,PuzzlePalace/img/17_PP_cutting room floor_image.png,A variation of the Puzzle Palace logo with brand colors.
src/pages/works/puzzle-palace.astro,ImgECenter,PuzzlePalace/img/18_PP_cutting room floor_image.png,A variation of the Puzzle Palace logo with brand colors.
src/pages/works/puzzle-palace.astro,ImgERight,PuzzlePalace/img/19_PP_cutting room floor_image.png,A variation of the Puzzle Palace logo with brand colors.
src/pages/works/genius-kitchen.astro,Hero,GeniusKitchen/Hero.png,The logo for Genius Kitchen.
src/pages/works/genius-kitchen.astro,HeroMobile,GeniusKitchen/Hero-mobile.png,The logo for Genius Kitchen.
src/pages/works/genius-kitchen.astro,Spread,GeniusKitchen/GK_spread.jpg,Mockups for the Genius Kitchen website on a desktop monitor, laptop, and phone.
src/pages/works/genius-kitchen.astro,Animation,GeniusKitchen/gk-home.gif,Multiple screenshots of different pages on the Genius Kitchen website.
src/pages/works/genius-kitchen.astro,Icons,GeniusKitchen/icons.jpg,Genius Kitchen branded icons for digital products.
src/pages/works/pearly-bites.astro,Header,PearlyBites/img/PearlyBites_Header.png,A collage of school portrait pictures of dog and cat heads on human bodies.
src/pages/works/pearly-bites.astro,HeaderMobile,PearlyBites/img/PearlyBites_Header_Mobile.png,A collage of school portrait pictures of dog and cat heads on human bodies.
src/pages/works/pearly-bites.astro,FrontDesk,PearlyBites/img/PearlyBites_FrontDesk.png,A nurse with a clipboard standing in front of the Pearly Bites Veterinary logo at an office location.
src/pages/works/pearly-bites.astro,BetterDental,PearlyBites/img/PearlyBites_BetterDental.png,The words Better Dental Care for Your Best Friend with a toothbrush illustration below.
src/pages/works/pearly-bites.astro,Site,PearlyBites/img/PearlyBites_Site.png,A screenshot of the Pearly Bites Veterinary website home page.
src/pages/works/pearly-bites.astro,ExamRoom,PearlyBites/img/PearlyBites_ExamRoom.png,A veterinarian and nurse examine a cat in an exam room.
src/pages/works/pearly-bites.astro,Interiors,PearlyBites/img/PearlyBites_Interiors.png,Interior shots of the waiting room area and exam room area of a Pearly Bites Veterinary office. The school portrait pictures of cats and dogs on human bodies decorate the walls.
src/pages/works/pearly-bites.astro,SocialPages,PearlyBites/img/PearlyBites_SocialPages.png,A screenshot of the Pearly Bites Veterinary facebook page and a screenshot of their instagram page.
src/pages/works/pearly-bites.astro,Tote,PearlyBites/img/PearlyBites_Tote.png,A cat next to a woman holding a tote bag with the words Where New York pets get best-in-class smiles. Pearly Bites Veterinary on it.
src/pages/works/pearly-bites.astro,Cards,PearlyBites/img/PearlyBites_BusinessCards.jpg,A scattered pile of business cards for Pearly Bites veterinary with their contact info.
src/pages/works/pearly-bites.astro,SocialGrid,PearlyBites/img/PearlyBites_SocialGrid.png,A grid of alternating pictures of animal school portraits and quotes about animals.
src/pages/works/pearly-bites.astro,Stationary,PearlyBites/img/PearlyBites_Stationary.png,Stationary designs for the brand.
src/pages/works/pearly-bites.astro,Carousel,PearlyBites/img/PearlyBites_SocialCarousel.png,Brand social cards.
src/pages/works/see-sarah-dance.astro,Hero,SeeSarahDance/Hero.png,A behind the scenes photo of a group rehearsing to shoot a promotional video and visual resume for Sarah. Sarah is the founder and owner of By Hart studio.
src/pages/works/see-sarah-dance.astro,HeroMobile,SeeSarahDance/HeroMobile.png,A behind the scenes photo of a group rehearsing to shoot a promotional video and visual resume for Sarah. Sarah is the founder and owner of By Hart studio.
src/pages/works/metro-vein-centers.astro,Hero,MVC/img/01_MVC_Hero.png,Legs below the knee with flowers attached to one of the legs.
src/pages/works/metro-vein-centers.astro,HeroMobile,MVC/img/01_MVC_Hero_M.png,Legs below the knee with flowers attached to one of the legs.
src/pages/works/metro-vein-centers.astro,Colors,MVC/img/03_MVC_Colors.svg,Brand color palette.
src/pages/works/metro-vein-centers.astro,LogoOverlay,MVC/img/04_MVC_LogoImage.png,Metro vein centers logo on top of a pair of legs.
src/pages/works/metro-vein-centers.astro,LogoVariantA,MVC/img/05_MVC_LogoVariation_1.png,Logo variation.
src/pages/works/metro-vein-centers.astro,LogoVariantB,MVC/img/05_MVC_LogoVariation_2.png,Logo variation.
src/pages/works/metro-vein-centers.astro,Office,MVC/img/06_MVC_Office.png,Metro Vein Centers office.
src/pages/works/metro-vein-centers.astro,BrandValues,MVC/img/07_MVC_BrandValues.png,Brand values. We treat people not symptoms.
src/pages/works/metro-vein-centers.astro,ExamDoctor,MVC/img/08_MVC_ExamDoctor.png,A person on exam table talking to a doctor.
src/pages/works/metro-vein-centers.astro,Floatie,MVC/img/09_MVC_Floatie.png,A person in a bathing suit on a pool floatie.
src/pages/works/metro-vein-centers.astro,ExamTech,MVC/img/10_MVC_ExamTech.png,A nurse using a medical device on a person's leg.
src/pages/works/metro-vein-centers.astro,Couch,MVC/img/11_MVC_Couch.png,Yellow couch with plant and wall art.
src/pages/works/metro-vein-centers.astro,WarrenBarbie,MVC/img/12_MVC_WarrenBarbie.png,A person adjusting a miniature doctor's office scene with a doll.
src/pages/works/metro-vein-centers.astro,BarbieBeach,MVC/img/13_MVC_BarbieBeach.png,Beach scene featuring toys and toy version branded tote bag.
src/pages/works/metro-vein-centers.astro,BarbieA,MVC/img/15_MVC_BarbieBTS/MVC_BarbieBTS_Square_1.png,A person surrounded by doll clothes.
src/pages/works/metro-vein-centers.astro,BarbieB,MVC/img/15_MVC_BarbieBTS/MVC_BarbieBTS_Square_2.png,A person taking a picture of a mintiature doll scene of a doctor's office.
src/pages/works/metro-vein-centers.astro,BarbieC,MVC/img/15_MVC_BarbieBTS/MVC_BarbieBTS_Square_2b.png,A person posing with a doll.
src/pages/works/metro-vein-centers.astro,BarbieD,MVC/img/15_MVC_BarbieBTS/MVC_BarbieBTS_Square_3.png,A person holding up a nurse doll with clothes and other doll models behind them.
src/pages/works/metro-vein-centers.astro,BarbieE,MVC/img/15_MVC_BarbieBTS/MVC_BarbieBTS_Square_4.png,A person adjusting toys.
src/pages/works/metro-vein-centers.astro,BarbieF,MVC/img/15_MVC_BarbieBTS/MVC_BarbieBTS_Square_5.png,A person drawing on a doll in a miniature doctor's office.
src/pages/works/metro-vein-centers.astro,BarbieG,MVC/img/15_MVC_BarbieBTS/MVC_BarbieBTS_Square_6.png,A person going through doll clothing.
src/pages/works/metro-vein-centers.astro,Legs,MVC/img/16_MVC_Legs.png,Three pairs of legs pointing up.
src/pages/works/metro-vein-centers.astro,ToteBag,MVC/img/18_MVC_ToteBag.png,Flowers in a branded tote bag.
src/pages/works/metro-vein-centers.astro,VeinIllo,MVC/img/18_MVC_VeinIllustration.png,Illustration of healthy veins compared to unhealthy veins.
src/pages/works/metro-vein-centers.astro,KickingLegs,MVC/img/21_MVC_KickingLegs.png,Two pairs of legs kicking in the air.
src/pages/works/metro-vein-centers.astro,QuizBG,MVC/img/22_MVC_QuizBG.png,A pair of legs crossed and sideways in the air.
src/pages/works/metro-vein-centers.astro,QuizFrame,MVC/img/22_MVC_QuizFrame.png,Phone shape.
src/pages/works/metro-vein-centers.astro,WelcomeEmailA,MVC/img/22_MVC_WelcomeEmail_1.png,Welcome email design.
src/pages/works/metro-vein-centers.astro,WelcomeEmailB,MVC/img/22_MVC_WelcomeEmail_2.png,Welcome email design.
src/pages/works/metro-vein-centers.astro,Illustrations,MVC/img/23_MVC_Illustrations.jpg,Illustrations created for Metro Vein Center feauring different symptoms.
src/pages/works/metro-vein-centers.astro,ApptEmail,MVC/img/25_MVC_ApptEmail.png,Design for an appointment info email.
src/pages/works/metro-vein-centers.astro,QuizEmail,MVC/img/25_MVC_QuizEmail.png,Design for an informational email.
src/pages/works/metro-vein-centers.astro,NewYear,MVC/img/27_MVC_NewYear.png,Pair of legs with one foot on a disco ball. new year new legs
src/pages/works/metro-vein-centers.astro,Present,MVC/img/27_MVC_Present.png,One leg holding up a gift box.
src/pages/works/metro-vein-centers.astro,FallA,MVC/img/28_MVC_Fall_1.png,Advertisement. Two pictures of a pair of legs made to look like it's one pair. One picture is the upper part of legs in water on beach and the other is lower part of legs being treated.
src/pages/works/metro-vein-centers.astro,FallB,MVC/img/28_MVC_Fall_2.png,Advertisement. One leg with shoe on and autum leaves and one leg barefoot on grass.
src/pages/works/metro-vein-centers.astro,FallPostcards,MVC/img/29_MVC_FallPostcards.png,Advertisement. Image of healthy veins and another image with a person laying sideways.
src/pages/works/nbc-upfronts.astro,Hero,NbcUpfronts/img/hero.png,The actor, Rami Malek, in front of a garage door for a promotional ad.
src/pages/works/nbc-upfronts.astro,HeroMobile,NbcUpfronts/img/hero-mobile.png,The actor, Rami Malek, in front of a garage door for a promotional ad.
src/pages/works/nbc-upfronts.astro,LeftA,NbcUpfronts/img/left-1.png,Pages from the NBCUniversal Reach Redefined magazine.
src/pages/works/nbc-upfronts.astro,LeftB,NbcUpfronts/img/left-2.png,Promotional subway ads for the campaign.
src/pages/works/nbc-upfronts.astro,RightA,NbcUpfronts/img/right-1.png,Pages from the NBCUniversal Reach Redefined magazine.
src/pages/works/nbc-upfronts.astro,RightB,NbcUpfronts/img/right-2.png,Ads for the campaign in the New York Times newspaper.
src/pages/works/nbc-upfronts.astro,RightC,NbcUpfronts/img/right-3.png,Large subway wall ad for the campaign.
src/pages/works/nbc-upfronts.astro,Campaign,NbcUpfronts/img/campaign.jpeg,An advertisement for the campaign featuring Kim Kardashian.
src/pages/works/sage.astro,SageStorySocial1,Sage/img/Story_Social_1.png,Practicing Mindfulness through Breathwork can begin in the comfort of your home or workspace. Take a moment with yourslef as you brace for the week ahead.
src/pages/works/sage.astro,SageStorySocial3,Sage/img/Story_Social_3.png,Call attention to your lungs as they fill and empty. Scan your body from the crown of your head down to your toes.
src/pages/works/sage.astro,SagePhoto,Sage/img/Sage_Photo.png,A collage of photos. A mother holding her child, a sage plant, the full moon seen through flowering tree branches, a white bed sheet, leaves of a purple plant, and a person sitting holding their legs to their chest.
src/pages/works/sage.astro,SageSiteDesktop,Sage/img/Sage_Site_Desktop.png,A screenshot of the Sage desktop website.
src/pages/works/sage.astro,SageSiteMobile,Sage/img/Sage_Site_Mobile.png,A screenshot of the Sage mobile website.
src/pages/works/sage.astro,SageSocial1,Sage/img/Sage_Social_1.png,A mother holding her child with the words I am resilient.
src/pages/works/sage.astro,SageSocial2,Sage/img/Sage_Social_2.png,Text on a purple background showcasing the brand's colors and font stylings.
src/pages/works/sage.astro,SageGraphic1,Sage/img/Sage_Graphic_1.png,A purple plant. The words Nutrition and Herbalism, highlighting one of Sage's services.
src/pages/works/sage.astro,SageGraphic2,Sage/img/Sage_Graphic_2.png,A person resting their hands on their navel. The words Psychiatry and Psychotherapy, highlighting one of Sage's services.
src/pages/works/sage.astro,SageIcon1,Sage/img/Sage_Graphic_Icon1.png,A person sitting holding their legs to their chest. The words Today is a new beginning.
src/pages/works/sage.astro,SageIcon2,Sage/img/Sage_Graphic_Icon2.png,A white bedsheet suspended in air. The words Don't stress.
src/pages/works/sage.astro,SageQuote,Sage/img/Sage_Quote.png,It takes enormous trust and courage to allow yourself to remember. Dorothy Pitman Hughes
src/pages/works/sage.astro,SageBrochure1,Sage/img/Sage_Brochure_1.png,Two pages of Sage's brochure. On one, the words A haven for people to dig, discover, reveal, and heal. along with contact information. On the other page, the words Healing is always possible.
src/pages/works/sage.astro,SageBrochure2,Sage/img/Sage_Brochure_2.png,Two pages of Sage's brochure. Both pages feature images of plants and discuss the services Sage offers.
src/pages/works/sage.astro,SageBusiness,Sage/img/Sage_Business.png,The backs and fronts of three business cards designed for Sage.
src/pages/works/sage.astro,SageBrandGuideGrid1,Sage/img/Sage_Brand_Guide_Grid_01.png,The core values of Sage. We are: informed and open-minded. Holistic and integrative. Respectful and responsive. Conscious and conscientious. A relational community.
src/pages/works/sage.astro,SageBrandGuideGrid2,Sage/img/Sage_Brand_Guide_Grid_02.png,Logo designs for Sage.
src/pages/works/sage.astro,SageBrandGuideGrid3,Sage/img/Sage_Brand_Guide_Grid_03.png,A list of key words, attributes, and overall tone of the Sage brand.
src/pages/works/sage.astro,SageBrandGuideGrid4,Sage/img/Sage_Brand_Guide_Grid_04.png,A display of the color palette for the Sage design.
src/pages/works/sage.astro,SageBrandGuideGrid5,Sage/img/Sage_Brand_Guide_Grid_05.png,A display of a background gradient and background texture designed for the Sage brand.
src/pages/works/sage.astro,SageBrandGuideGrid6,Sage/img/Sage_Brand_Guide_Grid_06.png,The fonts and font colors for the Sage brand focusing on meeting WCAG accessibility.
src/pages/works/sage.astro,SageBrandGuideGrid7,Sage/img/Sage_Brand_Guide_Grid_07.png,An examination of the values of the brand.
src/pages/works/sage.astro,SageBrandGuideGrid8,Sage/img/Sage_Brand_Guide_Grid_08.png,A display of one of the fonts for the brand, Gazpacho.
src/pages/works/sage.astro,SageBrandGuideGrid9,Sage/img/Sage_Brand_Guide_Grid_09.png,An analysis of the type hierarchy for Sage's typography
src/pages/works/sage.astro,SageBrandGuideGrid10,Sage/img/Sage_Brand_Guide_Grid_10.png,A display of the icons that represent each service offered by Sage.
src/pages/works/sage.astro,SageBrandGuideGrid11,Sage/img/Sage_Brand_Guide_Grid_11.png,A study of how the colors for the brand were picked, illustrated by a collage of images featuring plants and nature.
src/pages/works/sage.astro,SageBrandGuideGrid12,Sage/img/Sage_Brand_Guide_Grid_12.png,Sage staff portraits and art direction.
src/pages/works/sage.astro,SageBrandGuideGrid13,Sage/img/Sage_Brand_Guide_Grid_13.png,A mockup of the Sage website on a laptop computer.
src/pages/works/sage.astro,SageBrandGuideGrid14,Sage/img/Sage_Brand_Guide_Grid_14.png,A mockup of the Sage instagram page on a mobile phone.
src/pages/works/nightingale.astro,Hero,Nightingale/img/Nightingale-Hero.png,A dog offers its paw to a veterinarian.
src/pages/works/nightingale.astro,HeroMobile,Nightingale/img/Nightingale-Hero-Mobile.png,A dog offers its paw to a veterinarian.
src/pages/works/nightingale.astro,Logo,Nightingale/img/Nightingale-Logo.png,The logo for Nightingale Veterinary Partners.
src/pages/works/nightingale.astro,Diagonals,Nightingale/img/Nightingale-1.png,An arrangement of screen mockups for the company's mobile app.
src/pages/works/nightingale.astro,PortraitA,Nightingale/img/portrait-1.png,Three kittens with their owner.
src/pages/works/nightingale.astro,PortraitB,Nightingale/img/portrait-2.png,A veterinary nurse sitting on the floor holding a dog in her lap.
src/pages/works/nightingale.astro,PortraitC,Nightingale/img/portrait-3.png,A veterinarian holding a dog in her arms.
src/pages/works/nightingale.astro,PortraitD,Nightingale/img/portrait-4.png,A person sitting on the floor and a cat next to her with its paw on their knee.
src/pages/works/nightingale.astro,Palette,Nightingale/img/color-palette.svg,The brand's color palette.
src/pages/works/nightingale.astro,SiteA,Nightingale/img/Site-1.png,A screenshot of the company's desktop website home page.
src/pages/works/nightingale.astro,SiteB,Nightingale/img/Site-2.png,A screenshot of the company's desktop website hiring page.
src/pages/works/nightingale.astro,SiteC,Nightingale/img/Site-3.png,A screenshot of the company's desktop website hiring page.
src/pages/works/nightingale.astro,SiteD,Nightingale/img/Site-4.png,A screenshot of the company's desktop website hiring page.
src/pages/works/nightingale.astro,SiteE,Nightingale/img/Site-Mobile-1.png,Three screenshots of the company's mobile app.
src/pages/works/nightingale.astro,SiteF,Nightingale/img/Site-Mobile-2.png,Three screenshots of the company's mobile app.
src/pages/works/nightingale.astro,SistinePup,Nightingale/img/Nightingale-3.png,A veterinary nurse offering a dog a treat.
src/pages/works/nightingale.astro,IconsA,Nightingale/img/Nightingale-Icons-1.svg,Icon designs for the brand's digital pages.
src/pages/works/nightingale.astro,IconsB,Nightingale/img/Nightingale-Icons-2.svg,Icon designs for the brand's digital pages.
src/pages/works/nightingale.astro,PitchDesktop,Nightingale/img/Nightingale-4-desktop.png,Information about working for the company.
src/pages/works/nightingale.astro,PitchMobile,Nightingale/img/Nightingale-4-mobile.png,Information about working for the company.
src/pages/works/apartment-therapy.astro,HeroMobile,AptTherapy/01_AP_Hero_M.png,Woman sitting on red couch.
src/pages/works/apartment-therapy.astro,HeroDesktop,AptTherapy/01_AT_Hero.png,Woman sitting on red couch.
src/pages/works/apartment-therapy.astro,Trix,AptTherapy/02_AT_Trix_1.png,Black cat under red couch.
src/pages/works/apartment-therapy.astro,Fireplace,AptTherapy/02_AT_Fireplace_2.png,Picture frame over fireplace.
src/pages/works/apartment-therapy.astro,Couch,AptTherapy/02_AT_Couch_3.png,Red couch and picture frames on wall.
src/pages/works/apartment-therapy.astro,Light,AptTherapy/03_AT_Light_1.png,Ceiling light fixture with flower designs. Picture frames on brick wall over a red couch.
src/pages/works/apartment-therapy.astro,Poster,AptTherapy/03_AT_Poster_2.png,Framed wall poster.
src/pages/works/apartment-therapy.astro,Glasses,AptTherapy/04_AT_Dresser_1.png,Dresser with drawer pulled open to show multiple pairs of glasses.
src/pages/works/apartment-therapy.astro,Chaise,AptTherapy/04_AT_Chaise_2.png,Picture frames on wall over a chaise.
src/pages/works/apartment-therapy.astro,Desk,AptTherapy/05_AT_Desk_1.png,Different angle of picture frames, chaise, and desk.
src/pages/works/apartment-therapy.astro,Dresser,AptTherapy/05_AT_Dresser_2.png,Picture frames on wall over a wooden dresser.
src/pages/works/apartment-therapy.astro,Chandelier,AptTherapy/06_AT_Chandelier_2.png,Ceiling light fixture with flower designs.
src/pages/works/apartment-therapy.astro,KitchenA,AptTherapy/06_AT_Kitchen_1.png,Kitchen
src/pages/works/apartment-therapy.astro,KitchenB,AptTherapy/06_AT_Kitchen_3.png,Kitchen
src/pages/works/apartment-therapy.astro,Cabinet,AptTherapy/07_AT_Cabinet_1.png,Cabinet full of books.
src/pages/works/apartment-therapy.astro,Bathroom,AptTherapy/07_AT_Bathroom_2.png,Framed wall poster in bathroom
src/pages/works/apartment-therapy.astro,Bed,AptTherapy/07_AT_Bed_3.png,Cat on bed.
src/pages/works/apartment-therapy.astro,Gallery,AptTherapy/08_AT_Gallery_1.png,Red couch and picture frames on wall.
src/pages/works/apartment-therapy.astro,KitchenC,AptTherapy/08_AT_Kitchen_2.png,Kitchen
src/pages/works/apartment-therapy.astro,Portrait,AptTherapy/09_AT_Portrait.png,Woman sitting on red couch.
src/pages/works/firefly-vets.astro,Hero,FireflyVets/img/hero.png,The back paws and tail of a dog on a bed sheet.
src/pages/works/firefly-vets.astro,HeroMobile,FireflyVets/img/hero-mobile.png,The back paws and tail of a dog on a bed sheet.
src/pages/works/firefly-vets.astro,LogoWordmark,FireflyVets/img/logo-wordmark.png,The firefly veterinary hospital logo.
src/pages/works/firefly-vets.astro,LogoOverlayA,FireflyVets/img/logo-overlay-1.png,A variation of the firefly veterinary hospital logo overlaid on top of a cat being held in a person's arms.
src/pages/works/firefly-vets.astro,LogoOverlayB,FireflyVets/img/logo-overlay-2.png,A variation of the firefly veterinary hospital logo overlaid on top of a cat being held in a person's arms.
src/pages/works/firefly-vets.astro,LogoOverlayC,FireflyVets/img/logo-overlay-3.png,A variation of the firefly veterinary hospital logo overlaid on top of a cat being held in a person's arms.
src/pages/works/firefly-vets.astro,GridA,FireflyVets/img/grid-1.png,A back paw and tail of a dog on a bed sheet.
src/pages/works/firefly-vets.astro,GridB,FireflyVets/img/grid-2.png,A cat being held in a person's arms.
src/pages/works/firefly-vets.astro,GridC,FireflyVets/img/grid-3.png,A cat's nose and mouth.
src/pages/works/firefly-vets.astro,GridD,FireflyVets/img/grid-4.png,The ear, neck, and corner of mouth of a dog.
src/pages/works/firefly-vets.astro,GridE,FireflyVets/img/grid-5.png,The butt and tail of a dog.
src/pages/works/firefly-vets.astro,GridF,FireflyVets/img/grid-6.png,The nose and mouth of a dog.
src/pages/works/firefly-vets.astro,GridG,FireflyVets/img/grid-7.png,A cat licking their nose.
src/pages/works/firefly-vets.astro,GridH,FireflyVets/img/grid-8.png,The bottom of a dog's paws.
src/pages/works/firefly-vets.astro,HandsA,FireflyVets/img/hands-1.png,A cat being held in a person's arms.
src/pages/works/firefly-vets.astro,HandsB,FireflyVets/img/hands-2.png,A hand touching the top of a puppy's ear.
src/pages/works/firefly-vets.astro,Palette,FireflyVets/img/palette.jpeg,The brand's color palette.
src/pages/works/firefly-vets.astro,Marks,FireflyVets/img/mark-variations.png,Variations of brand logos.
src/pages/works/firefly-vets.astro,ValueAMobile,FireflyVets/values/value1-m.svg,Brand values - Community
src/pages/works/firefly-vets.astro,ValueADesktop,FireflyVets/values/value1-d.svg,Brand values - Community
src/pages/works/firefly-vets.astro,ValueBMobile,FireflyVets/values/value2-m.svg,Brand values - Communication
src/pages/works/firefly-vets.astro,ValueBDesktop,FireflyVets/values/value2-d.svg,Brand values - Communication
src/pages/works/firefly-vets.astro,ValueCMobile,FireflyVets/values/value3-m.svg,Brand values - Innovation
src/pages/works/firefly-vets.astro,ValueCDesktop,FireflyVets/values/value3-d.svg,Brand values - Innovation
src/pages/works/firefly-vets.astro,ValueDMobile,FireflyVets/values/value4-m.svg,Brand values - Heart
src/pages/works/firefly-vets.astro,ValueDDesktop,FireflyVets/values/value4-d.svg,Brand values - Heart
src/pages/works/firefly-vets.astro,ValueEMobile,FireflyVets/values/value5-m.svg,Brand values - Sense of play
src/pages/works/firefly-vets.astro,ValueEDesktop,FireflyVets/values/value5-d.svg,Brand values - Sense of play
src/pages/works/six-feet.astro,Header,SixFeet/6ft_header.gif,Stickers and designs promoting social distancing popping in and out.
src/pages/works/six-feet.astro,HeaderMobile,SixFeet/6ft_header_mobile.gif,Stickers and designs promoting social distancing popping in and out.
